"","usr_id","actual","predict","difference"
"1","7",4,1,-3
"2","10",5,5,0
"3","14",1,4,3
"4","15",3,4,1
"5","19",4,3,-1
"6","32",4,3,-1
"7","36",5,5,0
"8","40",1,5,4
"9","43",1,1,0
"10","43",3,2,-1
"11","44",2,2,0
"12","45",1,1,0
"13","45",4,4,0
"14","45",3,2,-1
"15","46",4,1,-3
"16","49",4,5,1
"17","49",3,4,1
"18","49",5,5,0
"19","50",1,3,2
"20","55",3,5,2
"21","57",2,2,0
"22","59",3,5,2
"23","59",1,3,2
"24","60",4,5,1
"25","61",3,5,2
"26","62",3,5,2
"27","62",5,5,0
"28","66",5,2,-3
"29","67",1,1,0
"30","75",4,5,1
"31","76",3,4,1
"32","78",3,5,2
"33","79",4,5,1
"34","80",4,4,0
"35","85",3,3,0
"36","86",5,5,0
"37","86",3,4,1
"38","89",3,4,1
"39","89",3,5,2
"40","89",2,2,0
"41","90",3,4,1
"42","94",2,4,2
"43","94",4,2,-2
"44","95",4,4,0
"45","95",5,4,-1
"46","100",5,3,-2
"47","102",4,2,-2
"48","102",5,4,-1
"49","103",3,1,-2
"50","106",3,2,-1
"51","106",4,5,1
"52","113",4,4,0
"53","115",4,3,-1
"54","127",2,1,-1
"55","129",3,4,1
"56","130",3,2,-1
"57","132",2,1,-1
"58","133",3,4,1
"59","137",3,5,2
"60","141",5,5,0
"61","148",5,3,-2
"62","151",2,3,1
"63","151",1,2,1
"64","151",4,4,0
"65","161",3,5,2
"66","162",4,5,1
"67","166",2,3,1
"68","166",5,5,0
"69","166",5,5,0
"70","170",2,2,0
"71","170",3,2,-1
"72","171",2,3,1
"73","177",4,3,-1
"74","179",5,3,-2
"75","179",2,1,-1
"76","180",2,3,1
"77","181",5,3,-2
"78","186",3,2,-1
"79","189",3,5,2
"80","194",2,3,1
"81","195",4,3,-1
"82","196",4,3,-1
"83","196",3,5,2
"84","198",1,2,1
"85","200",2,2,0
"86","201",3,3,0
"87","202",2,3,1
"88","202",2,3,1
"89","202",1,2,1
"90","204",4,4,0
"91","207",3,3,0
"92","211",4,1,-3
"93","211",5,4,-1
"94","212",5,4,-1
